artist_name,genre,priority
Ed Sheeran,Pop,1
Taylor Swift,Pop,1
Adele,Pop,1
Coldplay,Pop,1
Bruno Mars,Pop,1
Billie Eilish,Pop,1
Harry Styles,Pop,1
Dua Lipa,Pop,1
The Weeknd,Pop,1
Ariana Grande,Pop,1
Justin Bieber,Pop,1
Olivia Rodrigo,Pop,1
Sam Smith,Pop,1
Charlie Puth,Pop,1
Shawn Mendes,Pop,1
Drake,Hip-Hop,1
Kendrick Lamar,Hip-Hop,1
Post Malone,Hip-Hop,1
Travis Scott,Hip-Hop,1
Cardi B,Hip-Hop,1
Nicki Minaj,Hip-Hop,1
Jay-Z,Hip-Hop,1
Eminem,Hip-Hop,1
Kanye West,Hip-Hop,1
Lizzo,Hip-Hop,1
Arctic Monkeys,Rock,1
Radiohead,Rock,1
Imagine Dragons,Rock,1
Linkin Park,Rock,1
Foo Fighters,Rock,1
Red Hot Chili Peppers,Rock,1
Twenty One Pilots,Rock,1
Muse,Rock,1
The Killers,Rock,1
Green Day,Rock,1
Bad Bunny,Latin,1
J Balvin,Latin,1
Shakira,Latin,1
Maluma,Latin,1
Ozuna,Latin,1
Calvin Harris,Electronic,1
David Guetta,Electronic,1
Martin Garrix,Electronic,1
Marshmello,Electronic,1
Avicii,Electronic,1
Arijit Singh,Indian,1
A.R. Rahman,Indian,1
Shreya Ghoshal,Indian,1
Pritam,Indian,1
Nucleya,Indian,1
Michael Jackson,Legacy,1
Madonna,Legacy,1
Elton John,Legacy,1
Queen,Legacy,1
The Beatles,Legacy,1
